username,course_id,grade
bpre,MinesTelecom/04018/session01,0.0
bpre,MinesTelecom/04018S02/session02,0.0
bpre,MinesTelecom/04021/session01,0.82
bpre,course-v1:MinesTelecom+04026+session02,0.0
bpre,course-v1:MinesTelecom+04021+session04,0.0
bpre,course-v1:MinesTelecom+04017+session04,0.0
maoude,MinesTelecom/04017/session01,0.0
maoude,MinesTelecom/04017S02/session02,0.0
maoude,MinesTelecom/04018/session01,0.0
maoude,MinesTelecom/04018S02/session02,0.0
maoude,MinesTelecom/04021/session01,0.0
maoude,MinesTelecom/04021S02/session02,0.0
maoude,course-v1:MinesTelecom+04017+session03,0.0
maoude,course-v1:MinesTelecom+04021+session03,0.0
maoude,course-v1:MinesTelecom+04018+session03,0.0
maoude,CNAM/01002S04/session04,0.0
maoude,course-v1:MinesTelecom+04026+session02,0.0
maoude,course-v1:MinesTelecom+04021+session04,0.0
maoude,course-v1:MinesTelecom+04017+session04,0.0
FDouchet,MinesTelecom/04017S02/session02,0.98
FDouchet,MinesTelecom/04018S02/session02,1.0
FDouchet,MinesTelecom/04021S02/session02,0.97
FDouchet,course-v1:MinesTelecom+04021+session03,0.97
Xavier026,MinesTelecom/04017S02/session02,0.0
elievre,MinesTelecom/04017S02/session02,0.13
elievre,MinesTelecom/04018S02/session02,0.0
JackTheProf,MinesTelecom/04017S02/session02,0.0
Tadonus,MinesTelecom/04017S02/session02,0.0
Tadonus,MinesTelecom/04018S02/session02,0.0
Tadonus,MinesTelecom/04021S02/session02,0.0
Tadonus,course-v1:MinesTelecom+04018+session03,0.0
mbeng,MinesTelecom/04017/session01,0.0
mbeng,MinesTelecom/04017S02/session02,0.0
mbeng,MinesTelecom/04018/session01,0.0
mbeng,MinesTelecom/04021/session01,0.0
Vivien1982,MinesTelecom/04017/session01,0.0
Vivien1982,MinesTelecom/04017S02/session02,0.0
Vivien1982,MinesTelecom/04018/session01,0.0
Vivien1982,MinesTelecom/04018S02/session02,0.0
Vivien1982,MinesTelecom/04021/session01,0.0
Vivien1982,MinesTelecom/04021S02/session02,0.0
BenoistH,MinesTelecom/04017S02/session02,1.0
BenoistH,MinesTelecom/04018S02/session02,0.0
BenoistH,MinesTelecom/04021/session01,1.0
nacer_s,MinesTelecom/04017/session01,0.0
nacer_s,MinesTelecom/04017S02/session02,0.0
nacer_s,MinesTelecom/04018/session01,0.0
nacer_s,MinesTelecom/04018S02/session02,0.0
nacer_s,MinesTelecom/04021/session01,0.0
nacer_s,MinesTelecom/04021S02/session02,0.0
nacer_s,course-v1:MinesTelecom+04017+session03,0.0
nacer_s,course-v1:MinesTelecom+04021+session03,0.0
nacer_s,course-v1:MinesTelecom+04018+session03,0.0
nacer_s,CNAM/01002S04/session04,0.0
nacer_s,course-v1:MinesTelecom+04026+session02,0.0
nacer_s,course-v1:MinesTelecom+04021+session04,0.0
nacer_s,course-v1:MinesTelecom+04017+session04,0.0
nacer_s,course-v1:MinesTelecom+04026+session03,0.0
JeanMichelK6,MinesTelecom/04017S02/session02,0.93
JeanMichelK6,MinesTelecom/04021S02/session02,0.0
Rabehoavy,MinesTelecom/04017/session01,0.0
Rabehoavy,MinesTelecom/04017S02/session02,0.0
Rabehoavy,MinesTelecom/04018/session01,0.0
Rabehoavy,MinesTelecom/04018S02/session02,0.0
Rabehoavy,MinesTelecom/04021/session01,0.0
Rabehoavy,MinesTelecom/04021S02/session02,0.0
Rabehoavy,course-v1:MinesTelecom+04017+session03,0.0
Rabehoavy,course-v1:MinesTelecom+04018+session03,0.0
Rabehoavy,CNAM/01002S04/session04,0.0
Rabehoavy,course-v1:MinesTelecom+04026+session03,0.0
micmac70,MinesTelecom/04017S02/session02,0.0
anti_gone,MinesTelecom/04017S02/session02,0.5
anti_gone,MinesTelecom/04018S02/session02,0.0
anti_gone,MinesTelecom/04021/session01,1.0
Ydrix,MinesTelecom/04017S02/session02,0.13
Ydrix,MinesTelecom/04018S02/session02,0.0
fredmuller,MinesTelecom/04017S02/session02,0.0
abdelkhalekabdelkhalek2434,MinesTelecom/04017S02/session02,0.0
abdelkhalekabdelkhalek2434,MinesTelecom/04018S02/session02,0.0
abdelkhalekabdelkhalek2434,MinesTelecom/04021/session01,0.0
abdelkhalekabdelkhalek2434,MinesTelecom/04021S02/session02,0.0
Fredonne,MinesTelecom/04017S02/session02,0.63
Fredonne,MinesTelecom/04018/session01,0.0
JLoupCL,MinesTelecom/04017S02/session02,0.0
JLoupCL,course-v1:MinesTelecom+04017+session04,0.0
JLoupCL,course-v1:MinesTelecom+04021+session05,0.0
lapetiteanissa,MinesTelecom/04017S02/session02,0.0
Ari_279,MinesTelecom/04017S02/session02,0.0
Ari_279,MinesTelecom/04018S02/session02,0.0
Ari_279,MinesTelecom/04021S02/session02,0.0
Ari_279,course-v1:MinesTelecom+04021+session03,0.0
mabadiakhou,MinesTelecom/04017S02/session02,0.0
mabadiakhou,MinesTelecom/04018S02/session02,0.0
mabadiakhou,MinesTelecom/04021/session01,0.0
mabadiakhou,course-v1:MinesTelecom+04018+session03,0.0
mabadiakhou,CNAM/01002S04/session04,0.0
mabadiakhou,course-v1:MinesTelecom+04026+session02,0.0
GillesMiami,MinesTelecom/04017S02/session02,0.13
GillesMiami,MinesTelecom/04018S02/session02,0.0
GillesMiami,MinesTelecom/04021S02/session02,0.0
GillesMiami,course-v1:MinesTelecom+04017+session03,0.63
GillesMiami,course-v1:MinesTelecom+04021+session03,0.0
GillesMiami,course-v1:MinesTelecom+04018+session03,0.0
GillesMiami,course-v1:MinesTelecom+04026+session02,0.0
GillesMiami,course-v1:MinesTelecom+04021+session04,0.0
GillesMiami,course-v1:MinesTelecom+04017+session04,0.0
cbarbet,MinesTelecom/04017S02/session02,0.08
cbarbet,MinesTelecom/04018S02/session02,0.0
bamston,MinesTelecom/04017S02/session02,0.0
bamston,MinesTelecom/04018/session01,0.0
bamston,MinesTelecom/04021/session01,0.0
dfe84,MinesTelecom/04017S02/session02,0.0
dfe84,MinesTelecom/04018S02/session02,0.0
dfe84,CNAM/01002S04/session04,0.0
Evalcke,MinesTelecom/04017S02/session02,0.0
techerjeansebastien,MinesTelecom/04017S02/session02,0.0
techerjeansebastien,MinesTelecom/04018S02/session02,0.0
techerjeansebastien,MinesTelecom/04021S02/session02,0.0
techerjeansebastien,CNAM/01002S04/session04,0.0
AlexandreBRUN,MinesTelecom/04017/session01,0.33
AlexandreBRUN,MinesTelecom/04017S02/session02,0.0
AlexandreBRUN,MinesTelecom/04018/session01,0.0
AlexandreBRUN,MinesTelecom/04018S02/session02,0.0
AlexandreBRUN,MinesTelecom/04021/session01,0.0
AlexandreBRUN,MinesTelecom/04021S02/session02,0.0
AlexandreBRUN,course-v1:MinesTelecom+04017+session03,0.0
AlexandreBRUN,course-v1:MinesTelecom+04021+session03,0.0
AlexandreBRUN,course-v1:MinesTelecom+04018+session03,0.0
AlexandreBRUN,CNAM/01002S04/session04,0.0
AlexandreBRUN,course-v1:MinesTelecom+04026+session02,0.0
AlexandreBRUN,course-v1:MinesTelecom+04021+session04,0.0
AlexandreBRUN,course-v1:MinesTelecom+04017+session04,0.0
AlexandreBRUN,course-v1:MinesTelecom+04021+session05,0.0
AlexandreBRUN,course-v1:MinesTelecom+04026+session03,0.0
zakariyaousanda,MinesTelecom/04017S02/session02,0.0
LeCartesien,MinesTelecom/04017/session01,0.0
LeCartesien,MinesTelecom/04017S02/session02,0.0
LeCartesien,course-v1:MinesTelecom+04017+session03,0.0
LeCartesien,CNAM/01002S04/session04,0.0
LeCartesien,course-v1:MinesTelecom+04017+session04,0.0
TanguyCadin,MinesTelecom/04017S02/session02,0.0
TanguyCadin,MinesTelecom/04018S02/session02,0.0
TanguyCadin,MinesTelecom/04021S02/session02,0.0
oscarnova,MinesTelecom/04017S02/session02,0.0
oscarnova,course-v1:MinesTelecom+04017+session03,0.0
oscarnova,course-v1:MinesTelecom+04021+session03,0.0
oscarnova,course-v1:MinesTelecom+04018+session03,0.0
oscarnova,CNAM/01002S04/session04,0.0
michelH,MinesTelecom/04017/session01,0.0
michelH,MinesTelecom/04017S02/session02,0.0
michelH,MinesTelecom/04018/session01,0.0
michelH,MinesTelecom/04018S02/session02,0.0
michelH,MinesTelecom/04021/session01,0.0
michelH,course-v1:MinesTelecom+04017+session03,0.0
michelH,CNAM/01002S04/session04,0.0
michelH,course-v1:MinesTelecom+04021+session05,0.0
michelH,course-v1:MinesTelecom+04026+session03,0.0
JonasUlysse,MinesTelecom/04017S02/session02,0.0
JonasUlysse,MinesTelecom/04018S02/session02,0.0
JonasUlysse,MinesTelecom/04021S02/session02,0.0
xtesta,MinesTelecom/04017S02/session02,0.0
xtesta,MinesTelecom/04018S02/session02,0.0
xtesta,MinesTelecom/04021S02/session02,0.0
wiggy,MinesTelecom/04017S02/session02,0.95
wiggy,MinesTelecom/04018S02/session02,0.0
wiggy,MinesTelecom/04021S02/session02,0.0
HNACER,MinesTelecom/04017S02/session02,0.0
HNACER,MinesTelecom/04021/session01,0.0
Attilla,MinesTelecom/04017/session01,0.0
Attilla,MinesTelecom/04017S02/session02,0.0
Attilla,MinesTelecom/04018/session01,0.0
Attilla,MinesTelecom/04018S02/session02,0.0
Attilla,MinesTelecom/04021/session01,0.0
Attilla,MinesTelecom/04021S02/session02,0.0
Attilla,course-v1:MinesTelecom+04021+session05,0.0
mcbinene,MinesTelecom/04017/session01,0.0
mcbinene,MinesTelecom/04017S02/session02,0.98
mcbinene,MinesTelecom/04018/session01,0.13
mcbinene,MinesTelecom/04018S02/session02,0.97
mcbinene,MinesTelecom/04021/session01,0.12
mcbinene,MinesTelecom/04021S02/session02,0.0
actdiop,MinesTelecom/04017S02/session02,0.0
miglis,MinesTelecom/04017/session01,0.0
miglis,MinesTelecom/04017S02/session02,0.9
miglis,MinesTelecom/04018/session01,0.91
miglis,MinesTelecom/04018S02/session02,1.0
miglis,MinesTelecom/04021S02/session02,0.94
root243,MinesTelecom/04017S02/session02,0.0
root243,MinesTelecom/04018S02/session02,0.0
root243,MinesTelecom/04021S02/session02,0.0
Sabi972,MinesTelecom/04017S02/session02,0.0
Sabi972,MinesTelecom/04018S02/session02,0.0
Sabi972,MinesTelecom/04021S02/session02,0.0
Sabi972,CNAM/01002S04/session04,0.0
RAHIM065,MinesTelecom/04017S02/session02,0.0
RAHIM065,MinesTelecom/04018S02/session02,0.0
RAHIM065,CNAM/01002S04/session04,0.0
pchaudeyrac,MinesTelecom/04017S02/session02,0.0
pchaudeyrac,course-v1:MinesTelecom+04017+session03,0.0
pchaudeyrac,course-v1:MinesTelecom+04021+session03,0.0
pchaudeyrac,course-v1:MinesTelecom+04018+session03,0.0
pchaudeyrac,course-v1:MinesTelecom+04021+session04,0.0
pchaudeyrac,course-v1:MinesTelecom+04017+session04,0.0
pchaudeyrac,course-v1:MinesTelecom+04021+session05,0.0
Machin-Machin,MinesTelecom/04017S02/session02,0.0
Machin-Machin,MinesTelecom/04018S02/session02,0.0
Machin-Machin,MinesTelecom/04021/session01,0.0
Machin-Machin,CNAM/01002S04/session04,0.0
piecq29,MinesTelecom/04017S02/session02,0.93
piecq29,MinesTelecom/04018S02/session02,0.0
piecq29,MinesTelecom/04021S02/session02,0.0
StefP,MinesTelecom/04017S02/session02,0.85
StefP,MinesTelecom/04018S02/session02,0.25
plenezet,MinesTelecom/04017S02/session02,1.0
plenezet,MinesTelecom/04018/session01,0.0
plenezet,MinesTelecom/04018S02/session02,0.0
